item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q29588993,Obedingwa Mguni,Q1910161,ZANU–PF,,,2018-08,2019-06-18,male,Q29588993-CE1C5D32-B453-4AAC-9897-5C66D5C833E0
Q5218173,Daniel Molokele,Q48800088,MDC Alliance,,,2018-08,,male,Q5218173-06ECD9EB-7C70-4853-91A9-7AEC5BB5FF59
Q5559982,Gift Banda,Q48800088,MDC Alliance,Q6663649,Lobengula,2018-08,,male,Q5559982-38130440-761C-4701-B9E2-B0A7FA57281C
Q59655893,Tongai Mnangagwa,Q1910161,ZANU–PF,,,2018-08,,male,Q59655893-985EC4A2-F70C-4409-85C8-8662CCC4377E
Q6213465,Joel Gabuza,Q48800088,MDC Alliance,,,2018-08,,male,Q6213465-395F6941-4EDC-4152-8924-CF66FE05C910
Q6276249,Joram Gumbo,Q1910161,ZANU–PF,,,2018-08,,male,Q6276249-0412AB06-3C0E-417E-826D-64F2D633E835
Q6282111,Joseph Chinotimba,Q1910161,ZANU–PF,Q4986297,Buhera South,2018-08,,male,Q6282111-F9C38740-D6E8-4280-BFEB-CB95DAEB2AAA
Q63190278,Sithembile Gumbo,Q1910161,ZANU–PF,,,2018-08,2019-04-15,male,Q63190278-31594F93-DE85-4167-A81D-CDE555029D64
Q6386891,Kembo Mohadi,,,,,2009-02,,male,Q6386891-F0B5AF6B-6EC6-486E-8FCE-C08D4D0D6A70
Q6938737,Murisi Zwizwai,Q48800088,MDC Alliance,Q96380330,Harare Central,2018-08,,male,Q6938737-869A995A-D74F-4CFB-B97C-9612A685DF1D
Q7095508,Oppah Muchinguri,Q1910161,ZANU–PF,,,2018-08,,female,Q7095508-7DDE4F91-2D21-401E-8297-FBF4C12A5CEC
Q7116568,Ozias Bvute,Q1910161,ZANU–PF,,,2018-08,,male,Q7116568-97953693-A4FF-423B-8AAA-3325C224901C
Q7155466,Paurina Mpariwa,Q48800088,MDC Alliance,,,2018-08,,female,Q7155466-F805250E-04F9-4DA2-A39C-AF2BAD2FF144
Q7185645,Phillip Chiyangwa,Q1910161,ZANU–PF,,,2018-08,,male,Q7185645-CFB3CA41-99CA-475E-81D4-4302F4182759
Q7245611,Priscilla Misihairabwi-Mushonga,Q1146616,MDC–T,,,2018-08,,female,Q7245611-C0D5E77F-6025-423E-87D2-B39F84840EAA
Q7410395,Tendai Biti,Q48800088,MDC Alliance,Q5654202,Harare East,2018-08,,male,Q7410395-7012DAB7-C358-4690-AA22-77E3EF1C27F4
Q7507257,Sibonile Nyamudeza,Q48800088,MDC Alliance,,,2018-08,,male,Q7507257-1B81782C-01D2-4F8D-A99C-E3920A7618E5
Q7641876,Supa Mandiwanzira,Q1910161,ZANU–PF,,,2018-08,,male,Q7641876-4426A403-BA1A-428F-B92A-8274FA25FE84
Q78315284,Joanah Mamombe,Q48800088,MDC Alliance,,,2018-08,,female,Q78315284-9388BB38-381B-45EF-8C27-6CBEB14A6D2F
Q7978955,Webster Shamu,Q1910161,ZANU–PF,,,2018-08,,male,Q7978955-3476B588-F2A5-4F03-B640-DB3C6CF3A1BA
Q85115570,Nqobizitha Ndlovu,Q1910161,ZANU–PF,,,2018-08,,male,Q85115570-3005FC3F-9AF3-448C-BFDF-EDC53A005790
Q85678901,Paul Mavima,Q1910161,ZANU–PF,,,2018-08,,male,Q85678901-BB20D4A5-F6CC-4056-93A1-C1B241FE33DC
Q85678984,Ziyambi Ziyambi,Q1910161,ZANU–PF,,,2018-08,,male,Q85678984-7EFC6E7D-4E6A-4CDB-967A-BAFDFCAF1051
Q85850886,Kazembe Kazembe,Q1910161,ZANU–PF,,,2018-08,,male,Q85850886-A30F975D-D81E-4400-96AC-CF17B5500954
Q86997401,Job Sikhala,Q48800088,MDC Alliance,,,2018-08,,male,Q86997401-D13D6922-4A14-45CA-BF4D-2FA66986D44E
Q89084670,Patrick Dube,Q48800088,MDC Alliance,,,2018-08,,male,Q89084670-84977745-B6DE-4A66-92AF-DE63471720B7
Q91165040,Nicola Watson,Q48800088,MDC Alliance,Q4987236,Bulawayo Central,2018-08,,female,Q91165040-B29E9BEB-9B8B-42F4-8848-DBC3FEA0C940
Q93452160,Mabel Chinomona,Q1910161,ZANU–PF,Q6943998,Mutoko North,2018-08,,female,Q93452160-42040340-7ACF-462B-AAEF-7C242D2E92BC
Q93469585,Rusty Markham,Q48800088,MDC Alliance,Q5654211,Harare North,2018-08,,male,Q93469585-CEC4E72D-7B2D-40FF-B0EA-0E451EBEECE7
Q93578158,Christopher Chingosho,Q1910161,ZANU–PF,,,2018-08,,male,Q93578158-F33392C7-D6D0-4933-B279-CDB5DD1A0989
Q93838438,Raj Modi,Q1910161,ZANU–PF,Q4987240,Bulawayo South,2018-08,,male,Q93838438-88BA1A44-F363-4E89-8B99-52D12A817317
Q94973458,Vangelis Haritatos,Q1910161,ZANU–PF,,,2018-08,,male,Q94973458-22E9676E-29A8-47E9-91E8-726533BC23AE
Q97154086,Daniel Garwe,Q1910161,ZANU–PF,Q6938278,Murehwa North,2018-08,,male,Q97154086-23FA922C-E0CF-42DC-B637-639855F479F6
Q97816798,Masango Matambanadzo,,,Q97817432,Kwekwe Central,2013-07-31,2020-07-28,male,Q97816798-5eab6d70-4ce8-4463-2f18-b8949ea3dd34
Q98112108,Owen Ncube,Q1910161,ZANU–PF,,,2018-08,,male,Q98112108-5889C8D5-1484-49E3-9774-E03C0D8FF0C2
